review_id,stem,label_line,original_class_id,original_class_name,decision,review_note
1,000006,3,2,TrafficLight,pending,
2,000025,3,2,TrafficLight,pending,
3,000027,3,2,TrafficLight,pending,
4,000071,5,3,TrafficSign,pending,
5,000095,4,2,TrafficLight,pending,
6,000127,3,2,TrafficLight,pending,
7,000142,3,2,TrafficLight,pending,
8,000142,4,2,TrafficLight,pending,
9,000142,5,2,TrafficLight,pending,
10,000142,6,2,TrafficLight,pending,
11,000146,3,2,TrafficLight,pending,
12,000146,4,2,TrafficLight,pending,
13,000146,5,2,TrafficLight,pending,
14,000159,4,2,TrafficLight,pending,
15,000159,5,2,TrafficLight,pending,
16,000159,6,2,TrafficLight,pending,
17,000163,3,2,TrafficLight,pending,
18,000163,4,2,TrafficLight,pending,
19,000163,5,2,TrafficLight,pending,
20,000166,3,2,TrafficLight,pending,
21,000166,4,2,TrafficLight,pending,
22,000166,5,2,TrafficLight,pending,
23,000167,3,2,TrafficLight,pending,
24,000167,4,2,TrafficLight,pending,
25,000167,5,2,TrafficLight,pending,
26,000175,2,2,TrafficLight,pending,
27,000175,3,2,TrafficLight,pending,
28,000175,4,2,TrafficLight,pending,
29,000196,1,2,TrafficLight,pending,
30,000196,2,2,TrafficLight,pending,
31,000196,3,2,TrafficLight,pending,
32,000196,4,2,TrafficLight,pending,
33,000203,1,2,TrafficLight,pending,
34,000203,2,2,TrafficLight,pending,
35,000203,3,2,TrafficLight,pending,
36,000203,4,2,TrafficLight,pending,
37,000214,1,2,TrafficLight,pending,
38,000214,2,2,TrafficLight,pending,
39,000214,3,2,TrafficLight,pending,
40,000214,4,2,TrafficLight,pending,
41,000216,1,2,TrafficLight,pending,
42,000216,2,2,TrafficLight,pending,
43,000216,3,2,TrafficLight,pending,
44,000216,4,2,TrafficLight,pending,
45,000217,1,2,TrafficLight,pending,
46,000217,2,2,TrafficLight,pending,
47,000217,3,2,TrafficLight,pending,
48,000217,4,2,TrafficLight,pending,
49,000220,1,2,TrafficLight,pending,
50,000220,2,2,TrafficLight,pending,
51,000220,3,2,TrafficLight,pending,
52,000220,4,2,TrafficLight,pending,
53,000220,5,2,TrafficLight,pending,
54,000220,6,3,TrafficSign,pending,
55,000223,1,2,TrafficLight,pending,
56,000223,2,2,TrafficLight,pending,
57,000223,3,2,TrafficLight,pending,
58,000223,4,2,TrafficLight,pending,
59,000223,5,2,TrafficLight,pending,
60,000224,1,2,TrafficLight,pending,
61,000224,2,2,TrafficLight,pending,
62,000224,3,2,TrafficLight,pending,
63,000224,4,2,TrafficLight,pending,
64,000224,5,2,TrafficLight,pending,
65,000224,6,3,TrafficSign,pending,
66,000225,1,2,TrafficLight,pending,
67,000225,2,2,TrafficLight,pending,
68,000225,3,2,TrafficLight,pending,
69,000225,4,2,TrafficLight,pending,
70,000225,5,2,TrafficLight,pending,
71,000225,6,3,TrafficSign,pending,
72,000228,1,2,TrafficLight,pending,
73,000228,2,2,TrafficLight,pending,
74,000228,3,2,TrafficLight,pending,
75,000228,4,2,TrafficLight,pending,
76,000228,5,2,TrafficLight,pending,
77,000228,6,3,TrafficSign,pending,
78,000233,1,2,TrafficLight,pending,
79,000233,2,2,TrafficLight,pending,
80,000233,3,2,TrafficLight,pending,
81,000233,4,2,TrafficLight,pending,
82,000234,1,2,TrafficLight,pending,
83,000234,2,2,TrafficLight,pending,
84,000234,3,2,TrafficLight,pending,
85,000238,1,2,TrafficLight,pending,
86,000238,2,2,TrafficLight,pending,
87,000273,2,2,TrafficLight,pending,
88,000273,3,2,TrafficLight,pending,
89,000273,4,2,TrafficLight,pending,
90,000274,2,2,TrafficLight,pending,
91,000276,2,2,TrafficLight,pending,
92,000281,2,2,TrafficLight,pending,
93,000281,3,2,TrafficLight,pending,
94,000281,4,2,TrafficLight,pending,
95,000284,2,2,TrafficLight,pending,
96,000296,2,2,TrafficLight,pending,
97,000322,4,2,TrafficLight,pending,
98,000322,5,2,TrafficLight,pending,
